,id,CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade,CNPJ
74,34,802,Renegociação de dívida,por operacao,2021-11-01,750.0,Real,Por evento,92874270
75,35,803,Substituição de garantia,por operacao,2021-11-01,750.0,Real,Por evento,92874270
76,36,805,Rescisão Contratual (Quitação Antecipada),por operacao,2008-04-30,2500.0,Real,Por evento,92874270
77,37,901,Segunda via de documento,por copia,2019-08-01,195.0,Real,Por evento,92874270
78,38,902,Ressarcimento de despesas-telefonema,por chamada,1996-07-25,0.0,Real,Por evento,92874270
79,39,903,Ressarcimento de despesas-fax,por folha,1996-07-25,0.0,Real,Por evento,92874270
80,40,904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,92874270
81,41,905,Pagamento de funcionários via relação,por funcionario,2009-11-27,0.0,Real,Por evento,92874270
82,42,906,Pagamento de funcionários via meio magnético,por funcionario,2009-11-27,0.0,Real,Por evento,92874270
83,0,101,Confecção de ficha cadastral,por cliente,2013-09-27,0.0,Real,Por evento,3532415
84,1,102,Renovação de ficha cadastral,por cliente,2013-09-27,0.0,Real,A cada 0 dias,3532415
85,2,103,Consultas a serviços de proteção ao crédito,por consulta,2013-09-27,0.0,Real,Por evento,3532415
86,3,502,Emissão de DOC C,por operacao,2013-09-26,0.0,Real,Por evento,3532415
87,4,503,Emissão de DOC D,por operacao,2013-09-26,0.0,Real,Por evento,3532415
88,5,506,Transferência Eletrônica Disponível - TED,por operacao,2013-09-26,0.0,Real,Por evento,3532415
89,6,801,Abertura de crédito,por operacao,2013-09-26,0.0,Real,Por evento,3532415
90,7,802,Renegociação de dívida,por operacao,2013-09-27,0.0,Real,Por evento,3532415
91,8,803,Substituição de garantia,por operacao,2013-09-26,0.0,Real,Por evento,3532415
92,9,805,Rescisão Contratual (Quitação Antecipada),por operacao,2013-09-26,0.0,Real,Por evento,3532415
93,10,1001,Exportação: Edição de Contrato de Câmbio,por operacao,2017-03-28,500.0,Real,Por evento,3532415
94,0,101,Confecção de ficha cadastral,por cliente,1996-10-01,30.0,Real,Por evento,54403563
95,1,102,Renovação de ficha cadastral,por cliente,2004-01-20,30.0,Real,A cada 360 dias,54403563
96,2,103,Consultas a serviços de proteção ao crédito,por consulta,1996-07-25,0.0,Real,Por evento,54403563
97,3,301,Talão-10 folhas,por talao,1996-07-25,0.0,Real,Por evento,54403563
98,4,302,Talão-20 folhas (segundo talão no mês),por talao,2003-04-23,20.0,Real,Por evento,54403563
99,5,303,Cheque administrativo,por cheque,1996-10-01,11.0,Real,Por evento,54403563
100,6,304,Cheque avulso,por cheque,2003-04-23,10.0,Real,Por evento,54403563
101,7,305,Cheque devolvido por insuficiência de fundos,por cheque,1996-10-01,6.0,Real,Por evento,54403563
102,8,306,Oposição/sustação de pagamento de cheque,por cheque,1996-10-01,5.0,Real,Por evento,54403563
103,9,308,Inclusão no Cadastro de Cheques sem Fundo,por cheque,1996-07-25,0.0,Real,Por evento,54403563
104,10,309,Exclusão do Cadastro de Cheques sem Fundo,por cheque,1996-07-25,0.0,Real,Por evento,54403563
105,11,310,Cobrança de cheque por compensação,por cheque,2009-11-24,0.0,Real,Por evento,54403563
106,12,312,"Cheque Administrativo com vl.igual ou superior a R$5.000,00 (vl.fx.+%)",por cheque,2004-04-20,0.11,Percentual,Por evento,54403563
107,13,313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2004-04-20,0.11,Percentual,Por evento,54403563
108,14,401,Abertura de conta,por conta,1996-07-25,0.0,Real,Por evento,54403563
109,15,402,Manutenção de conta ativa,por conta,2004-04-20,20.0,Real,A cada 180 dias,54403563
110,16,403,Manutenção de conta inativa,por conta,1996-10-01,15.0,Real,A cada 180 dias,54403563
111,17,405,Concessão de cheque especial/conta garantida,por conta,2004-04-20,10.0,Percentual,Por evento,54403563
112,18,406,Renovação de cheque especial/conta garantida,por conta,2009-11-24,0.0,Real,A cada 0 dias,54403563
113,19,407,Débito autorizado em conta-corrente,por operacao,1996-07-25,0.0,Real,Por evento,54403563
114,20,502,Emissão de DOC C,por operacao,1996-10-01,10.0,Real,Por evento,54403563
115,21,503,Emissão de DOC D,por operacao,2003-04-23,10.0,Real,Por evento,54403563
116,22,504,Ordem de Pagamento,por operacao,1996-07-25,0.0,Real,Por evento,54403563
117,23,506,Transferência Eletrônica Disponível - TED,por operacao,2003-04-23,10.0,Real,Por evento,54403563
118,24,602,Por outros meios,por emissao,1996-07-25,0.0,Real,Por evento,54403563
119,25,603,"Cópias de microfilmes, microfichas ou assemelhados",por emissao,1996-07-25,0.0,Real,Por evento,54403563
120,26,701,Entrada por borderô (listagem de titulos),por titulo,2003-04-23,6.0,Real,Por evento,54403563
121,27,702,Entrada por meio magnético,por titulo,2003-04-23,6.0,Real,Por evento,54403563
122,28,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2003-04-23,6.0,Real,Por evento,54403563
123,29,704,Manutenção de título vencido,por titulo,2009-11-24,0.0,Real,A cada 0 dias,54403563
124,30,705,Envio para protesto,por titulo,2003-04-23,6.0,Real,Por evento,54403563
125,31,706,Sustação de protesto,por titulo,2003-04-23,6.0,Real,Por evento,54403563
126,32,707,Devolução de título,por titulo,2003-04-23,6.0,Real,Por evento,54403563
127,33,801,Abertura de crédito,por operacao,2008-05-30,4000.0,Real,Por evento,54403563
128,34,802,Renegociação de dívida,por operacao,2008-04-30,200.0,Real,Por evento,54403563
129,35,803,Substituição de garantia,por operacao,2003-04-23,200.0,Real,Por evento,54403563
130,36,804,Custódia de cheque pré-datado,por operacao,2004-04-20,2.0,Real,Por evento,54403563
131,37,805,Rescisão Contratual (Quitação Antecipada),por operacao,2007-07-10,4000.0,Real,Por evento,54403563
132,38,901,Segunda via de documento,por copia,1996-10-01,2.2,Real,Por evento,54403563
133,39,902,Ressarcimento de despesas-telefonema,por chamada,2004-01-20,30.0,Real,Por evento,54403563
134,40,903,Ressarcimento de despesas-fax,por folha,2004-01-20,30.0,Real,Por evento,54403563
135,41,904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,54403563
136,0,101,Confecção de ficha cadastral,por cliente,2022-01-01,3000.0,Real,Por evento,2658435
137,1,102,Renovação de ficha cadastral,por cliente,2008-05-15,0.0,Real,A cada 0 dias,2658435
138,2,103,Consultas a serviços de proteção ao crédito,por consulta,2008-05-15,0.0,Real,Por evento,2658435
139,3,201,"Comum, para débito, saque e consultas",por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
140,4,202,"Débito, saque e garantia de cheque-anuidade do contrato",por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
141,5,203,"Débito, saque e garantia de cheque-confecção do cartão",por cartao,2008-05-15,0.0,Real,Por evento,2658435
142,6,204,Cartão multiplo-nacional-anuidade do contrato,por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
143,7,205,Cartão multiplo-nacional-confecção do cartão,por cartao,2008-05-15,0.0,Real,Por evento,2658435
144,8,206,Cartão multiplo-internacional-anuidade do contrato,por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
145,9,207,Cartão multiplo-internacional-confecção do cartão,por cartao,2008-05-15,0.0,Real,Por evento,2658435
146,10,208,Cartão multiplo adicional-nacional-anuidade do contrato,por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
147,11,209,Cartão multiplo adicional-nacional-confecção do cartão,por cartao,2008-05-15,0.0,Real,Por evento,2658435
148,12,210,Cartão multiplo adicional-intern.-anuidade do contrato,por cartao,2008-05-15,0.0,Real,A cada 0 dias,2658435
149,13,211,Cartão multiplo adicional-Intern.-confecção do cartão,por cartao,2008-05-15,0.0,Real,Por evento,2658435
150,14,603,"Cópias de microfilmes, microfichas ou assemelhados",por emissao,2008-05-15,0.0,Real,Por evento,2658435
151,15,701,Entrada por borderô (listagem de titulos),por titulo,2009-04-02,0.0,Real,Por evento,2658435
152,16,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2008-05-15,0.0,Real,Por evento,2658435
153,17,801,Abertura de crédito,por operacao,2022-01-01,3000.0,Real,Por evento,2658435
154,18,802,Renegociação de dívida,por operacao,2019-07-09,3000.0,Real,Por evento,2658435
155,19,803,Substituição de garantia,por operacao,2019-07-09,3000.0,Real,Por evento,2658435
156,20,805,Rescisão Contratual (Quitação Antecipada),por operacao,2012-10-02,800.0,Real,Por evento,2658435
157,21,901,Segunda via de documento,por copia,2019-07-23,300.0,Real,Por evento,2658435
158,22,902,Ressarcimento de despesas-telefonema,por chamada,2008-05-15,0.0,Real,Por evento,2658435
159,23,903,Ressarcimento de despesas-fax,por folha,2008-05-15,0.0,Real,Por evento,2658435
160,24,904,Envelopamento de documentos,por envelope,2008-05-15,0.0,Real,Por evento,2658435
161,25,905,Pagamento de funcionários via relação,por funcionario,2008-05-15,0.0,Real,Por evento,2658435
162,26,906,Pagamento de funcionários via meio magnético,por funcionario,2008-05-15,0.0,Real,Por evento,2658435
163,0,101,Confecção de ficha cadastral,por cliente,2017-11-20,1400.0,Real,Por evento,2992446
164,1,102,Renovação de ficha cadastral,por cliente,2012-06-29,0.0,Real,A cada 0 dias,2992446
165,2,701,Entrada por borderô (listagem de titulos),por titulo,2002-03-31,0.0,Real,Por evento,2992446
166,3,702,Entrada por meio magnético,por titulo,2002-03-31,0.0,Real,Por evento,2992446
167,4,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2002-03-31,0.0,Real,Por evento,2992446
168,5,704,Manutenção de título vencido,por titulo,2012-06-29,0.0,Real,A cada 0 dias,2992446
169,6,705,Envio para protesto,por titulo,2002-03-31,0.0,Real,Por evento,2992446
170,7,706,Sustação de protesto,por titulo,2012-06-29,0.0,Real,Por evento,2992446
171,8,707,Devolução de título,por titulo,2002-03-31,0.0,Real,Por evento,2992446
172,9,801,Abertura de crédito,por operacao,2008-04-30,0.0,Real,Por evento,2992446
173,10,802,Renegociação de dívida,por operacao,2008-04-30,0.0,Real,Por evento,2992446
174,11,803,Substituição de garantia,por operacao,2012-06-29,800.0,Real,Por evento,2992446
175,12,804,Custódia de cheque pré-datado,por operacao,2012-06-29,0.0,Real,Por evento,2992446
176,13,805,Rescisão Contratual (Quitação Antecipada),por operacao,2008-04-30,0.0,Real,Por evento,2992446
177,14,901,Segunda via de documento,por copia,2012-06-29,200.0,Real,Por evento,2992446
178,15,902,Ressarcimento de despesas-telefonema,por chamada,2002-03-31,0.0,Real,Por evento,2992446
179,16,903,Ressarcimento de despesas-fax,por folha,2002-03-31,0.0,Real,Por evento,2992446
180,17,904,Envelopamento de documentos,por envelope,2008-04-30,0.0,Real,Por evento,2992446
181,18,905,Pagamento de funcionários via relação,por funcionario,2002-03-31,0.0,Real,Por evento,2992446
182,19,906,Pagamento de funcionários via meio magnético,por funcionario,2002-03-31,0.0,Real,Por evento,2992446
183,0,101,Confecção de ficha cadastral,por cliente,2019-03-28,80.0,Real,Por evento,4902979
184,1,102,Renovação de ficha cadastral,por cliente,2010-01-25,50.0,Real,A cada 180 dias,4902979
185,2,103,Consultas a serviços de proteção ao crédito,por consulta,2010-01-25,20.0,Real,Por evento,4902979
186,3,201,"Comum, para débito, saque e consultas",por cartao,2019-04-18,13.0,Real,A cada 360 dias,4902979
187,4,203,"Débito, saque e garantia de cheque-confecção do cartão",por cartao,2019-04-18,13.0,Real,Por evento,4902979
188,5,301,Talão-10 folhas,por talao,2019-03-28,17.0,Real,Por evento,4902979
189,6,302,Talão-20 folhas (segundo talão no mês),por talao,2019-03-28,34.0,Real,Por evento,4902979
190,7,303,Cheque administrativo,por cheque,2008-04-30,50.0,Real,Por evento,4902979
191,8,304,Cheque avulso,por cheque,2002-12-01,5.0,Real,Por evento,4902979
192,9,305,Cheque devolvido por insuficiência de fundos,por cheque,2019-03-28,60.0,Real,Por evento,4902979
193,10,306,Oposição/sustação de pagamento de cheque,por cheque,2019-03-28,15.0,Real,Por evento,4902979
194,11,308,Inclusão no Cadastro de Cheques sem Fundo,por cheque,2005-01-23,0.0,Real,Por evento,4902979
195,12,309,Exclusão do Cadastro de Cheques sem Fundo,por cheque,2015-07-10,55.0,Real,Por evento,4902979
196,13,310,Cobrança de cheque por compensação,por cheque,1996-07-25,0.0,Real,Por evento,4902979
197,14,311,Cheque TB (Transferência Bancária sem CPMF),por cheque,2010-04-01,12.0,Real,Por evento,4902979
198,15,312,"Cheque Administrativo com vl.igual ou superior a R$5.000,00 (vl.fx.+%)",por cheque,2007-08-10,0.11,Percentual,Por evento,4902979
199,16,313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2007-08-10,0.11,Percentual,Por evento,4902979
200,17,314,"Cheque TB com valor igual ou superior R$ 5.000,00 (vl.fixo + %)",por cheque,2007-08-10,0.11,Percentual,Por evento,4902979
201,18,401,Abertura de conta,por conta,1996-07-25,0.0,Real,Por evento,4902979
202,19,402,Manutenção de conta ativa,por conta,2019-03-28,45.0,Real,A cada 30 dias,4902979
203,20,403,Manutenção de conta inativa,por conta,2016-05-19,25.0,Real,A cada 180 dias,4902979
204,21,404,"Adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2019-04-06,60.0,Real,Por evento,4902979
205,22,405,Concessão de cheque especial/conta garantida,por conta,2007-08-10,100.0,Real,Por evento,4902979
206,23,406,Renovação de cheque especial/conta garantida,por conta,2007-08-10,100.0,Real,A cada 90 dias,4902979
207,24,407,Débito autorizado em conta-corrente,por operacao,2010-04-01,3.5,Real,Por evento,4902979
208,25,408,Banco domestico-conta principal (com limite de acessos),por conta,2005-01-23,0.0,Real,A cada 0 dias,4902979
209,26,409,Banco doméstico-conta secundária (com limite de acessos),por conta,2005-01-23,0.0,Real,A cada 0 dias,4902979
210,27,501,Saque em caixa automática externa/banco 24 horas,por saque,2017-06-30,3.0,Real,Por evento,4902979
211,28,502,Emissão de DOC C,por operacao,2019-03-28,18.0,Real,Por evento,4902979
212,29,503,Emissão de DOC D,por operacao,2019-03-28,18.0,Real,Por evento,4902979
213,30,505,Depósito em outra agência,por operacao,1996-07-25,0.0,Real,Por evento,4902979
214,31,506,Transferência Eletrônica Disponível - TED,por operacao,2019-03-28,19.0,Real,Por evento,4902979
215,32,601,Em terminal  eletrônico,por emissao,2015-07-10,3.0,Real,Por evento,4902979
216,33,602,Por outros meios,por emissao,2019-03-28,3.0,Real,Por evento,4902979
217,34,603,"Cópias de microfilmes, microfichas ou assemelhados",por emissao,2000-11-01,10.0,Real,Por evento,4902979
218,35,701,Entrada por borderô (listagem de titulos),por titulo,2013-09-16,10.0,Real,Por evento,4902979
219,36,702,Entrada por meio magnético,por titulo,2019-03-28,5.5,Real,Por evento,4902979
220,37,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2015-07-10,6.0,Real,Por evento,4902979
221,38,704,Manutenção de título vencido,por titulo,2017-06-30,5.9,Real,A cada 30 dias,4902979
222,39,705,Envio para protesto,por titulo,2017-06-30,9.0,Real,Por evento,4902979
223,40,706,Sustação de protesto,por titulo,2018-09-22,9.0,Real,Por evento,4902979
224,41,707,Devolução de título,por titulo,2015-07-10,6.5,Real,Por evento,4902979
225,42,801,Abertura de crédito,por operacao,2003-06-02,2.0,Percentual,Por evento,4902979
226,43,802,Renegociação de dívida,por operacao,2007-11-18,1.0,Percentual,Por evento,4902979
227,44,803,Substituição de garantia,por operacao,2007-11-18,1.0,Percentual,Por evento,4902979
228,45,804,Custódia de cheque pré-datado,por operacao,2015-07-10,0.6,Real,Por evento,4902979
229,46,805,Rescisão Contratual (Quitação Antecipada),por operacao,2005-05-14,0.0,Real,Por evento,4902979
230,47,901,Segunda via de documento,por copia,2016-06-06,6.0,Real,Por evento,4902979
231,48,902,Ressarcimento de despesas-telefonema,por chamada,2002-05-02,8.0,Real,Por evento,4902979
232,49,903,Ressarcimento de despesas-fax,por folha,2002-05-02,8.0,Real,Por evento,4902979
233,50,904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,4902979
234,51,905,Pagamento de funcionários via relação,por funcionario,2005-01-23,3.0,Real,Por evento,4902979
235,52,906,Pagamento de funcionários via meio magnético,por funcionario,1997-12-01,2.0,Real,Por evento,4902979
236,53,1001,Exportação: Edição de Contrato de Câmbio,por operacao,2017-11-16,270.0,Real,Por evento,4902979
237,54,1003,Exportação: Liquidação com Ordem de Pagamento,por operacao,2009-12-28,0.0,Real,Por evento,4902979
238,55,1004,Exportação: Conferência de Documentos,por operacao,2010-01-25,100.0,Real,Por evento,4902979
239,56,1005,Exportação: Câmbio Simplicado (todas as despesas do cliente no Banco),por operacao,2018-09-23,90.0,Real,Por evento,4902979
240,57,1006,Importação: Edição de Contrato de Câmbio,por operacao,2017-11-16,270.0,Real,Por evento,4902979
241,58,1007,Importação: Emissão de Ordem de Pagamento,por operacao,2007-11-18,100.0,Real,Por evento,4902979
242,59,1009,Importação: Câmbio Simplificado(Todas as despesas do cliente no Banco),por operacao,2018-09-23,90.0,Real,Por evento,4902979
243,60,1010,Financeiro -Ingresso de Recursos: Edição de Contrato de Câmbio,por operacao,2007-11-18,100.0,Real,Por evento,4902979
244,61,1012,Financeiro -Ingresso de Recursos: Liquidação com Ordem de pagamento,por operacao,2009-12-28,0.0,Real,Por evento,4902979
245,62,1016,Financeiro -Remessa de Recursos: Edição de Contrato de Câmbio,por operacao,2010-01-25,100.0,Real,Por evento,4902979
246,63,1018,Financeiro - Remessa de Recursos: Emissão de Ordem de Pagamento,por operacao,2009-12-28,0.0,Real,Por evento,4902979
247,0,801,Abertura de crédito,por operacao,2018-03-12,5000.0,Real,Por evento,27098060
248,0,101,Confecção de ficha cadastral,por cliente,2018-09-01,45.0,Real,Por evento,13009717
249,1,102,Renovação de ficha cadastral,por cliente,2018-09-01,45.0,Real,A cada 180 dias,13009717
250,2,103,Consultas a serviços de proteção ao crédito,por consulta,2020-09-01,0.0,Real,Por evento,13009717
251,3,201,"Comum, para débito, saque e consultas",por cartao,2022-03-01,10.0,Real,A cada 1440 dias,13009717
252,4,203,"Débito, saque e garantia de cheque-confecção do cartão",por cartao,2018-09-01,9.0,Real,Por evento,13009717
253,5,205,Cartão multiplo-nacional-confecção do cartão,por cartao,2022-03-01,10.0,Real,Por evento,13009717
254,6,209,Cartão multiplo adicional-nacional-confecção do cartão,por cartao,2022-03-01,10.0,Real,Por evento,13009717
255,7,301,Talão-10 folhas,por talao,2018-09-01,25.0,Real,Por evento,13009717
256,8,302,Talão-20 folhas (segundo talão no mês),por talao,2018-09-01,50.0,Real,Por evento,13009717
257,9,303,Cheque administrativo,por cheque,2018-03-01,30.0,Real,Por evento,13009717
258,10,304,Cheque avulso,por cheque,2017-09-01,3.85,Real,Por evento,13009717
259,11,305,Cheque devolvido por insuficiência de fundos,por cheque,2019-03-01,58.0,Real,Por evento,13009717
260,12,306,Oposição/sustação de pagamento de cheque,por cheque,2017-09-14,15.0,Real,Por evento,13009717
261,13,309,Exclusão do Cadastro de Cheques sem Fundo,por cheque,2017-09-14,60.0,Real,Por evento,13009717
262,14,311,Cheque TB (Transferência Bancária sem CPMF),por cheque,2011-08-15,1.2,Real,Por evento,13009717
263,15,312,"Cheque Administrativo com vl.igual ou superior a R$5.000,00 (vl.fx.+%)",por cheque,2018-09-01,30.0,Real,Por evento,13009717
264,16,313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2002-12-30,0.05,Percentual,Por evento,13009717
265,17,314,"Cheque TB com valor igual ou superior R$ 5.000,00 (vl.fixo + %)",por cheque,2002-12-30,0.05,Percentual,Por evento,13009717
266,18,401,Abertura de conta,por conta,1996-07-25,0.0,Real,Por evento,13009717
267,19,402,Manutenção de conta ativa,por conta,2022-03-01,45.0,Real,A cada 30 dias,13009717
268,20,403,Manutenção de conta inativa,por conta,2015-08-10,20.0,Real,A cada 30 dias,13009717
269,21,404,"Adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2020-09-01,100.0,Real,Por evento,13009717
270,22,405,Concessão de cheque especial/conta garantida,por conta,2010-02-14,400.0,Real,Por evento,13009717
271,23,406,Renovação de cheque especial/conta garantida,por conta,2015-08-10,250.0,Real,A cada 180 dias,13009717
272,24,407,Débito autorizado em conta-corrente,por operacao,2018-09-01,5.0,Real,Por evento,13009717
273,25,501,Saque em caixa automática externa/banco 24 horas,por saque,2018-09-01,8.0,Real,Por evento,13009717
